Rk,Tm,Games,"Field Goals Attempted, 19 yards and under","Field Goals Made, 19 yards and under","Field Goals Attempted, 20-29 yards","Field Goals Made, 20-29 yards","Field Goals Attempted, 30-39 yards","Field Goals Made, 30-39 yards","Field Goals Attempted, 40-49 yards","Field Goals Made, 40-49 yards","Field Goals Attempted, 50+ yards","Field Goals Made, 50+ yards",Field Goals Att,Field Goals Made,Long FGM,Field Goal %,Extra Pt Att,Extra Pt Made,Extra Point %,Kickoffs,Kickoff Yards,Kickoff touchbacks,Touchback Percentage,Avg. Kickoff Yards
1,St. Louis Rams,16,,,16,16,13,11,9,8,4,4,42,39,53,92.9%,46,46,100.0%,97,6244,12,12.4%,64.4
2,Indianapolis Colts,16,,,17,17,7,7,12,12,1,1,37,37,50,100.0%,46,46,100.0%,99,5955,4,4.0%,60.2
3,Tennessee Titans,16,,,5,5,14,14,16,12,2,1,37,32,50,86.5%,44,43,97.7%,94,5347,6,6.4%,56.9
4,Kansas City Chiefs,16,,,3,3,8,8,8,5,1,,20,16,49,80.0%,59,58,98.3%,93,5834,6,6.5%,62.7
5,Seattle Seahawks,16,,,5,5,11,10,11,6,3,1,30,22,58,73.3%,48,48,100.0%,84,5031,3,3.6%,59.9
6,San Francisco 49ers,16,,,13,11,12,7,10,8,2,,37,26,48,70.3%,41,38,92.7%,85,4995,3,3.5%,58.8
7,Green Bay Packers,16,,,5,5,11,11,9,6,1,1,26,23,50,88.5%,51,51,100.0%,92,5398,4,4.3%,58.7
8,Baltimore Ravens,16,,,16,16,6,6,14,11,4,1,40,34,56,85.0%,35,35,100.0%,18,1149,2,11.1%,63.8
9,Denver Broncos,16,,,12,11,6,6,11,9,3,2,32,28,51,87.5%,41,41,100.0%,86,5593,13,15.1%,65.0
10,Minnesota Vikings,16,,,7,7,8,6,7,4,3,1,25,18,51,72.0%,48,48,100.0%,82,4954,2,2.4%,60.4
11,New England Patriots,16,,,17,16,8,4,8,5,1,,34,25,48,73.5%,38,37,97.4%,79,4953,2,2.5%,62.7
12,Philadelphia Eagles,16,,,9,9,7,7,10,6,3,2,29,24,57,82.8%,42,42,100.0%,83,5237,8,9.6%,63.1
13,Carolina Panthers,16,,,13,13,8,6,13,11,4,2,38,32,53,84.2%,30,29,96.7%,78,4719,4,5.1%,60.5
14,New Orleans Saints,16,,,6,6,12,10,9,5,3,1,30,22,50,73.3%,37,36,97.3%,73,4496,3,4.1%,61.6
15,Cincinnati Bengals,16,,,5,5,10,10,8,7,2,,25,22,48,88.0%,40,40,100.0%,77,4730,4,5.2%,61.4
16,Pittsburgh Steelers,16,,,12,9,7,6,12,7,1,1,32,23,51,71.9%,32,31,96.9%,72,4485,5,6.9%,62.3
17,Chicago Bears,16,1,1,4,4,13,9,14,9,4,3,36,26,54,72.2%,27,27,100.0%,69,3956,1,1.4%,57.3
18,Jacksonville Jaguars,16,,,11,10,8,4,12,5,2,1,33,20,53,60.6%,30,30,100.0%,66,3737,3,4.5%,56.6
19,Miami Dolphins,16,,,9,9,6,3,8,6,6,4,29,22,52,75.9%,34,33,97.1%,74,4740,24,32.4%,64.1
20,Tampa Bay Buccaneers,16,,,9,9,6,3,8,3,3,1,26,16,50,61.5%,34,33,97.1%,67,4098,5,7.5%,61.2
21,Washington Redskins,16,,,8,8,9,7,9,6,7,4,33,25,54,75.8%,27,26,96.3%,72,4418,11,15.3%,61.4
22,Atlanta Falcons,16,,,6,6,11,9,7,4,3,,27,19,46,70.4%,33,32,97.0%,74,4521,7,9.5%,61.1
23,Dallas Cowboys,16,,,11,11,6,5,7,4,5,3,29,23,52,79.3%,31,30,96.8%,68,4267,2,2.9%,62.8
24,New York Jets,16,,,5,5,15,15,8,7,4,,32,27,48,84.4%,24,24,100.0%,72,4312,1,1.4%,59.9
25,San Diego Chargers,16,1,1,6,6,3,3,7,3,3,2,20,15,51,75.0%,36,36,100.0%,69,4008,,,58.1
26,Oakland Raiders,16,,,6,6,6,6,10,9,3,1,25,22,55,88.0%,29,28,96.6%,66,4112,7,10.6%,62.3
27,Cleveland Browns,16,3,3,7,7,8,5,8,6,2,2,28,23,52,82.1%,24,23,95.8%,65,3934,3,4.6%,60.5
28,New York Giants,16,,,8,6,11,9,8,5,,,27,20,47,74.1%,23,23,100.0%,61,3612,2,3.3%,59.2
29,Detroit Lions,16,,,7,7,6,6,6,5,4,4,23,22,54,95.7%,27,26,96.3%,66,4186,10,15.2%,63.4
30,Houston Texans,16,1,1,3,3,8,8,6,5,4,1,22,18,50,81.8%,27,27,100.0%,62,3931,8,12.9%,63.4
31,Buffalo Bills,16,,,12,11,3,3,7,3,2,,24,17,44,70.8%,24,24,100.0%,60,3597,3,5.0%,60.0
32,Arizona Cardinals,16,,,8,8,10,5,5,4,3,1,26,18,53,69.2%,20,19,95.0%,61,3593,8,13.1%,58.9
,Avg Team,,0.2,0.2,8.8,8.4,8.7,7.2,9.3,6.4,2.9,1.4,29.8,23.6,51.2,79.2%,35.3,34.7,98.4%,73.9,4504.4,5.5,7.4%,61.0
,League Total,,6,6,281,270,277,229,297,206,93,45,954,756,,79.2%,1128,1110,98.4%,2364,144142,176,7.4%,61.0
,Avg Tm/G,,,,0.5,0.5,0.5,0.4,0.6,0.4,0.2,0.1,1.9,1.5,,79.2%,2.2,2.2,98.4%,4.6,281.5,0.3,7.4%,61.0
