Gtm,Week,Date,Day, ,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,Yds,Att,Yds,TD,Y/A,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Yds,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,Pen,Yds,FL,Int,TO,ToP
1,1,2003-09-07,Sun,@,CLE,W,9,6,,20,29,69.0,182,0,6.3,3.17,57.0,0,0,26,98,0,3.8,55,280,5.09,2,2,0,0,3,127,9,6,3,18,4,11,0,0,9,64,0,2,2,32:39
2,2,2003-09-14,Sun,,TEN,W,33,7,,22,34,64.7,183,1,5.4,4.65,76.0,5,26,19,53,0,2.8,58,236,4.07,0,0,1,1,6,241,11,2,1,14,4,13,1,2,10,99,1,1,2,29:10
3,3,2003-09-21,Sun,,JAX,W,23,13,,16,28,57.1,114,1,4.1,4.79,78.6,2,8,25,152,0,6.1,55,266,4.84,4,2,1,1,4,155,7,7,1,15,5,13,0,0,7,38,1,0,1,23:48
4,4,2003-09-28,Sun,@,NOR,W,55,21,,21,36,58.3,208,1,5.8,3.83,60.9,2,20,25,155,1,6.2,63,363,5.76,2,2,1,1,3,139,12,8,0,20,6,12,0,1,5,50,2,2,4,28:04
5,5,2003-10-06,Mon,@,TAM,W,38,35,OT,26,39,66.7,318,3,8.2,8.54,106.6,0,0,33,139,0,4.2,72,457,6.35,2,0,5,5,6,241,14,7,4,25,6,14,0,0,11,111,0,1,1,38:18
6,6,2003-10-12,Sun,,CAR,L,20,23,OT,12,20,60.0,152,1,7.6,6.35,79.6,3,29,41,189,1,4.6,64,341,5.33,3,3,2,2,5,241,3,12,2,17,5,15,0,0,9,70,1,1,2,37:52
7,8,2003-10-26,Sun,,HOU,W,30,21,,20,26,76.9,139,1,5.3,4.38,85.3,2,11,28,131,2,4.7,56,270,4.82,0,0,3,3,5,205,8,9,1,18,4,10,1,1,7,52,1,1,2,30:32
8,9,2003-11-02,Sun,@,MIA,W,23,17,,18,29,62.1,192,1,6.6,7.31,92.9,5,39,14,47,1,3.4,48,239,4.98,1,1,2,2,7,317,8,4,0,12,1,10,0,0,5,44,2,0,2,22:20
9,10,2003-11-09,Sun,@,JAX,L,23,28,,12,24,50.0,179,1,7.5,6.42,71.4,0,0,38,174,3,4.6,62,353,5.69,0,0,4,4,4,144,8,10,2,20,9,14,0,1,7,47,1,1,2,31:39
10,11,2003-11-16,Sun,,NYJ,W,38,31,,11,14,78.6,192,3,13.7,18.00,158.3,3,27,17,132,0,7.8,34,324,9.53,1,1,4,4,5,188,6,6,0,12,1,7,0,0,8,56,0,0,0,21:08
11,12,2003-11-23,Sun,@,BUF,W,17,14,,15,28,53.6,118,0,4.2,2.61,49.4,2,17,27,110,2,4.1,57,228,4.00,1,0,2,2,6,294,5,9,2,16,3,13,3,3,6,42,0,1,1,27:59
12,13,2003-11-30,Sun,,NWE,L,34,38,,26,35,74.3,226,2,6.5,5.03,86.1,2,10,23,56,2,2.4,60,282,4.70,1,1,5,5,3,82,12,7,2,21,6,11,0,0,6,52,1,2,3,27:59
13,14,2003-12-07,Sun,@,TEN,W,29,27,,22,38,57.9,234,2,6.2,7.21,93.5,1,1,19,93,1,4.9,58,327,5.64,2,2,1,1,2,91,15,5,3,23,6,10,0,0,10,67,4,0,4,26:06
14,15,2003-12-14,Sun,,ATL,W,38,7,,9,25,36.0,29,0,1.2,-0.64,27.9,4,37,26,125,1,4.8,55,154,2.80,0,0,1,1,7,284,4,7,1,12,1,11,1,2,6,80,1,1,2,26:32
15,16,2003-12-21,Sun,,DEN,L,17,31,,14,17,82.4,238,1,14.0,12.53,113.8,0,0,54,227,3,4.2,71,465,6.55,1,1,4,4,1,34,11,13,2,26,9,13,0,1,11,93,0,1,1,44:58
16,17,2003-12-28,Sun,@,HOU,W,20,17,,13,23,56.5,105,0,4.6,2.61,50.1,0,0,22,99,2,4.5,45,204,4.53,1,1,2,2,7,332,5,5,0,10,2,11,0,0,6,40,0,1,1,24:28
,,,,,,12-4,447,336,,277,445,62.2,2809,18,6.3,5.60,79.7,31,225,437,1980,19,4.5,913,4789,5.25,21,16,38,38,74,3115,138,117,24,279,72,188,6,11,123,1005,15,15,30,473:32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,2004-01-04,Sun,,DEN,W,41,10,,23,30,76.7,176,1,5.9,3.53,73.7,2,5,26,146,0,5.6,58,322,5.55,2,1,1,1,2,168,9,10,1,20,4,11,2,2,5,55,1,2,3,34:38
2,19,2004-01-11,Sun,@,KAN,W,38,31,,18,30,60.0,212,1,7.1,7.73,92.6,0,0,30,196,2,6.5,60,408,6.80,2,1,4,4,0,0,13,10,1,24,5,11,3,3,4,30,1,0,1,27:47
3,20,2004-01-18,Sun,@,NWE,L,14,24,,22,37,59.5,237,1,6.4,5.73,76.1,0,0,32,112,0,3.5,69,349,5.06,5,5,1,1,2,148,15,5,0,20,5,15,2,2,3,15,1,1,2,32:14
,,,,,,2-1,93,65,,63,97,64.9,625,3,6.4,5.67,80.5,2,5,88,454,2,5.2,187,1079,5.77,9,7,6,6,4,316,37,25,2,64,14,37,7,7,12,100,3,3,6,94:39
