Week,Day,Date,Winner/tie,,Loser/tie,R,Pts,PtsR
WildCard,Sat,2004-01-03,Tennessee Titans,@,Baltimore Ravens,boxscore,20,17
WildCard,Sun,2004-01-04,Indianapolis Colts,,Denver Broncos,boxscore,41,10
WildCard,Sun,2004-01-04,Green Bay Packers,,Seattle Seahawks,boxscore,33,27
Division,Sat,2004-01-10,New England Patriots,,Tennessee Titans,boxscore,17,14
Division,Sat,2004-01-10,Carolina Panthers,@,St. Louis Rams,boxscore,29,23
Division,Sun,2004-01-11,Philadelphia Eagles,,Green Bay Packers,boxscore,20,17
Division,Sun,2004-01-11,Indianapolis Colts,@,Kansas City Chiefs,boxscore,38,31
ConfChamp,Sun,2004-01-18,New England Patriots,,Indianapolis Colts,boxscore,24,14
ConfChamp,Sun,2004-01-18,Carolina Panthers,@,Philadelphia Eagles,boxscore,14,3
SuperBowl,Sun,2004-02-01,New England Patriots,N,Carolina Panthers,boxscore,32,29
