Field Position,#Pl,ToGo,Yds,Att,YdsR,Y/A,TD,1D,Cmp,AttR,Cmp%,YdsRR,Y/AR,TDR,Int,Sk,1DR,Rate,ANY/A,
Own 1-10,25,9.96,5.52,10,18,1.8,0,0,11,15,73.3,120,8.0,0,0,0,3,96.5,8.0,All Colts plays in Own 1-10
Own 1-20,89,10.02,6.84,37,115,3.1,0,1,32,49,65.3,518,10.6,1,1,3,18,98.9,9.5,All Colts plays in Own 1-20
Own 21-50,408,8.72,7.25,171,812,4.7,0,37,154,230,67,2207,9.6,3,2,7,102,98.6,9.2,All Colts plays in Own 21-50
Opp 49-20,303,8.40,7.76,137,728,5.3,1,40,115,163,70.6,1641,10.1,15,3,3,80,125.8,10.9,All Colts plays in Opp 49-20
Red Zone,168,6.51,3.27,82,196,2.4,9,21,52,85,61.2,366,4.3,32,4,1,39,91.0,9.6,All Colts plays in Red Zone
Opp 1-10,85,4.46,2.05,40,53,1.3,7,10,24,45,53.3,121,2.7,24,4,0,24,61.6,9.4,All Colts plays in Opp 1-10
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Field Position,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
Own 1-10,24,10.92,5.63,13,28,2.2,0,0,9,11,81.8,107,9.7,0,0,0,6,107.2,9.7,All Opponent plays in Own 1-10
Own 1-20,98,10.30,6.85,50,232,4.6,0,7,38,47,80.9,444,9.4,0,2,1,22,88.3,7.4,All Opponent plays in Own 1-20
Own 21-50,449,8.83,6.56,172,999,5.8,0,49,174,252,69,2112,8.4,2,6,25,96,87.3,6.8,All Opponent plays in Own 21-50
Opp 49-20,359,8.18,5.46,146,611,4.2,3,34,121,197,61.4,1467,7.4,11,9,16,71,83.9,6.0,All Opponent plays in Opp 49-20
Red Zone,136,6.83,2.77,72,195,2.7,9,16,31,61,50.8,209,3.4,13,2,3,20,84.6,5.9,All Opponent plays in Red Zone
Opp 1-10,62,4.76,1.63,39,45,1.2,6,7,12,23,52.2,56,2.4,8,1,0,8,79.5,7.4,All Opponent plays in Opp 1-10
