Week,Day,Date,,R,RR,OT,Rec,RRR,Opp,Tm,OppR,1stD,TotYd,PassY,RushY,TO,1stDR,TotYdR,PassYR,RushYR,TOR,Offense,Defense,Sp. Tms
1,Thu,September 9,9:08PM ET,boxscore,L,,0-1,@,New England Patriots,24,27,28,446,244,202,3,22,402,320,82,2,13.03,-16.33,0.12
2,Sun,September 19,1:02PM ET,boxscore,W,,1-1,@,Tennessee Titans,31,17,27,373,244,129,1,25,389,236,153,2,20.01,-1.35,-1.72
3,Sun,September 26,4:15PM ET,boxscore,W,,2-1,,Green Bay Packers,45,31,26,453,393,60,,24,459,385,74,2,26.58,-12.05,-1.45
4,Sun,October 3,1:02PM ET,boxscore,W,,3-1,@,Jacksonville Jaguars,24,17,23,337,220,117,1,23,408,311,97,1,12.16,-5.96,2.13
5,Sun,October 10,1:00PM ET,boxscore,W,,4-1,,Oakland Raiders,35,14,25,338,188,150,1,18,269,216,53,3,16.27,11.70,-5.24
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 24,1:00PM ET,boxscore,L,,4-2,,Jacksonville Jaguars,24,27,23,446,359,87,2,20,414,286,128,2,15.27,-12.05,-5.52
8,Sun,October 31,1:00PM ET,boxscore,L,,4-3,@,Kansas City Chiefs,35,45,23,505,472,33,1,33,590,387,203,2,17.13,-29.26,-0.57
9,Mon,November 8,9:00PM ET,boxscore,W,,5-3,,Minnesota Vikings,31,28,26,408,264,144,,15,292,154,138,1,23.76,-11.05,-8.71
10,Sun,November 14,1:00PM ET,boxscore,W,,6-3,,Houston Texans,49,14,17,398,312,86,2,20,302,170,132,4,13.44,26.71,-4.06
11,Sun,November 21,1:02PM ET,boxscore,W,,7-3,@,Chicago Bears,41,10,31,486,211,275,1,14,224,145,79,5,17.76,15.40,-9.07
12,Thu,November 25,12:38PM ET,boxscore,W,,8-3,@,Detroit Lions,41,9,24,356,243,113,,19,386,218,168,5,16.05,10.78,5.17
13,Sun,December 5,1:02PM ET,boxscore,W,,9-3,,Tennessee Titans,51,24,29,567,417,150,3,17,340,225,115,2,22.53,7.13,-5.82
14,Sun,December 12,1:02PM ET,boxscore,W,,10-3,@,Houston Texans,23,14,22,382,281,101,,17,273,125,148,2,10.11,3.36,-4.13
15,Sun,December 19,8:36PM ET,boxscore,W,,11-3,,Baltimore Ravens,20,10,17,316,249,67,,19,354,194,160,2,4.08,11.02,-0.12
16,Sun,December 26,1:00PM ET,boxscore,W,OT,12-3,,San Diego Chargers,34,31,30,464,360,104,1,22,374,281,93,1,17.43,-16.94,0.79
17,Sun,January 2,4:15PM ET,boxscore,L,,12-4,@,Denver Broncos,14,33,8,200,166,34,1,23,453,239,214,,-10.49,-13.48,3.50
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,January 9,1:07PM ET,boxscore,W,,13-4,,Denver Broncos,49,24,27,530,454,76,1,18,338,260,78,1,35.46,-10.65,1.87
Division,Sun,January 16,4:45PM ET,boxscore,L,,13-5,@,New England Patriots,3,20,18,276,230,46,3,21,325,115,210,,-10.24,-8.47,2.56
