Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,YdsR,Y/R,TDR,1DR,Succ%R,LngR,R/G,Y/GR,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1,Edgerrin James,26,RB,16,16,334,1548,9,78,56.0,40,4.6,96.8,20.9,60,51,483,9.5,0,20,56.7,56,3.2,30.2,85.0,8.1,385,5.3,2031,9,6,"PB,AP-2"
2,Reggie Wayne,26,WR,16,16,1,-4,0,0,0.0,-4,-4.0,-0.3,0.1,115,77,1210,15.7,12,59,62.6,71,4.8,75.6,67.0,10.5,78,15.5,1206,12,0,
3,Marvin Harrison,32,WR,16,16,0,0,0,0,,,,0.0,0.0,139,86,1113,12.9,15,63,54.7,59,5.4,69.6,61.9,8.0,86,12.9,1113,15,1,"PB,AP-2"
4,Brandon Stokley,28,WR,16,3,0,0,0,0,,,,0.0,0.0,102,68,1077,15.8,10,54,61.8,69,4.3,67.3,66.7,10.6,68,15.8,1077,10,1,
5,Dallas Clark,25,TE,15,13,0,0,0,0,,,,0.0,0.0,39,25,423,16.9,5,18,56.4,80,1.7,28.2,64.1,10.8,25,16.9,423,5,2,
6,Marcus Pollard,32,TE,13,13,0,0,0,0,,,,0.0,0.0,41,29,309,10.7,6,17,61.0,31,2.2,23.8,70.7,7.5,29,10.7,309,6,0,
7,Dominic Rhodes,25,RB,16,0,53,254,1,16,45.3,55,4.8,15.9,3.3,4,2,24,12.0,0,1,50.0,20,0.1,1.5,50.0,6.0,55,5.1,278,1,2,
8,James Mungro,26,RB,15,0,5,19,0,1,40.0,8,3.8,1.3,0.3,8,7,36,5.1,3,5,75.0,16,0.5,2.4,87.5,4.5,12,4.6,55,3,0,
9,Peyton Manning,28,QB,16,16,25,38,0,4,20.0,19,1.5,2.4,1.6,0,0,0,,0,0,,,0.0,0.0,,,25,1.5,38,0,5,"PB,AP-1,AP MVP-1,AP OPoY-1"
10,Ben Hartsock,24,TE,16,3,0,0,0,0,,,,0.0,0.0,8,4,33,8.3,0,1,25.0,17,0.3,2.1,50.0,4.1,4,8.3,33,0,0,
11,Brad Pyatt,24,WR,8,0,0,0,0,0,,,,0.0,0.0,2,2,12,6.0,0,0,0.0,7,0.3,1.5,100.0,6.0,2,6.0,12,0,0,
12,Aaron Moorehead,24,WR,7,0,0,0,0,0,,,,0.0,0.0,3,1,7,7.0,0,1,33.3,7,0.1,1.0,33.3,2.3,1,7.0,7,0,0,
13,Troy Walters,28,WR,5,0,0,0,0,0,,,,0.0,0.0,1,1,5,5.0,0,0,0.0,5,0.2,1.0,100.0,5.0,1,5.0,5,0,0,
14,Hunter Smith,27,P,16,0,1,2,0,0,0.0,2,2.0,0.1,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,2.0,2,0,0,
15,Jeff Saturday,29,C,14,14,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
16,Jim Sorgi,24,QB,4,0,8,-5,0,0,0.0,2,-0.6,-1.3,2.0,0,0,0,,0,0,,,0.0,0.0,,,8,-0.6,-5,0,1,
,Team Totals,,,16,16,427,1852,10,99,51.1,55,4.3,115.8,26.7,523,353,4732,13.4,51,239,57.9,80,22.1,295.8,67.5,9.0,780,8.4,6584,61,18,
